Technique ID,Technique Name,Procedure Example,Tactic
SIM Card Swap,T1451,"The user should become familiar with social engineering tactics that ask for Personally Identifiable Information (PII). Additionally, the user should include the use of hardware tokens, biometrics, and other non-SMS based authentication mechanisms where possible. Finally, the user should enable SIM swapping protections offered by the mobile carrier, such as setting up a PIN or password to authorize any changes to the account.",Unknown
SIM Card Swap,T1451,System Notifications,Unknown
Supply Chain Compromise (3),T1474,Application developers should be cautious when selecting third-party libraries to integrate into their application.,Unknown
Supply Chain Compromise (3),T1474,Security updates may contain patches for devices that were compromised at the supply chain level.,Unknown
Supply Chain Compromise (3),T1474,API Calls,Unknown
Compromise Software Dependencies and Development Tools,T1474.001,XcodeGhost was injected into apps by a modified version of Xcode (Apple's software development tool). [2] [3],Unknown
Compromise Software Dependencies and Development Tools,T1474.001,Application developers should be cautious when selecting third-party libraries to integrate into their application.,Unknown
Compromise Software Dependencies and Development Tools,T1474.001,API Calls,Unknown
Compromise Hardware Supply Chain,T1474.002,Security updates may contain patches to integrity checking mechanisms that can detect unauthorized hardware modifications.,Unknown
Compromise Hardware Supply Chain,T1474.002,Host Status,Unknown
Compromise Software Supply Chain,T1474.003,Adups was pre-installed on Android devices from some vendors. [1] [2],Unknown
Compromise Software Supply Chain,T1474.003,A Linux kernel distributed by Allwinner reportedly contained an simple backdoor that could be used to obtain root access. It was believed to have been left in the kernel by mistake by the authors. [3],Unknown
Compromise Software Supply Chain,T1474.003,"CHEMISTGAMES has been distributed as updates to legitimate applications. This was accomplished by compromising legitimate app developers, and subsequently gaining access to their Google Play Store developer account. [4]",Unknown
Compromise Software Supply Chain,T1474.003,"In at least one case, Stealth Mango may have been installed using physical access to the device by a repair shop. [5]",Unknown
Compromise Software Supply Chain,T1474.003,Triada was added into the Android system by a third-party vendor identified as Yehuo or Blazefire during the production process. [6] [7],Unknown
Compromise Software Supply Chain,T1474.003,Security updates may contain patches that inhibit system software compromises.,Unknown
Compromise Software Supply Chain,T1474.003,Ensure Verified Boot is enabled on devices with that capability.,Unknown
Compromise Software Supply Chain,T1474.003,API Calls,Unknown
Compromise Software Supply Chain,T1474.003,Host Status,Unknown
Command and Scripting Interpreter (1),T1623,LightSpy has plugins for executing shell commands either from the C2 server or a library file called zt.dylib . [1] [2] [3],Unknown
Command and Scripting Interpreter (1),T1623,TianySpy can steal information via malicious JavaScript. [4],Unknown
Command and Scripting Interpreter (1),T1623,Device attestation can often detect jailbroken or rooted devices.,Unknown
Command and Scripting Interpreter (1),T1623,Mobile security products can typically detect jailbroken or rooted devices.,Unknown
Command and Scripting Interpreter (1),T1623,API Calls,Unknown
Command and Scripting Interpreter (1),T1623,Command Execution,Unknown
Command and Scripting Interpreter (1),T1623,Process Creation,Unknown
Command and Scripting Interpreter (1),T1623,Process Metadata,Unknown
Unix Shell,T1623.001,AbstractEmu has included encoded shell scripts to potentially aid in the rooting process. [1],Unknown
Unix Shell,T1623.001,BusyGasper can run shell commands. [2],Unknown
Unix Shell,T1623.001,CHEMISTGAMES can run bash commands. [3],Unknown
Unix Shell,T1623.001,DoubleAgent can run arbitrary shell commands. [4],Unknown
Unix Shell,T1623.001,HenBox can run commands as root. [5],Unknown
Unix Shell,T1623.001,Sunbird can try to run arbitrary commands as root. [6],Unknown
Unix Shell,T1623.001,Tiktok Pro can execute commands . [7],Unknown
Unix Shell,T1623.001,Device attestation can often detect jailbroken or rooted devices.,Unknown
Unix Shell,T1623.001,Mobile security products can typically detect jailbroken or rooted devices.,Unknown
Unix Shell,T1623.001,API Calls,Unknown
Unix Shell,T1623.001,Command Execution,Unknown
Unix Shell,T1623.001,Process Creation,Unknown
Unix Shell,T1623.001,Process Metadata,Unknown
Exploitation for Client Execution,T1658,LightSpy has compromised iPhones running iOS 12.1 and 12.2 without any user interaction. [1],Unknown
Exploitation for Client Execution,T1658,"During Operation Triangulation , the threat actors sent iMessage messages with malicious exploits that executed without user interaction. [2] [3] [4] Additionally, the threat actors have used various exploits, such as CVE-2023-41990, CVE-2023-32435, CVE-2023-32434 and CVE-2023-38606, to obtain privilege escalation. [4]",Unknown
Exploitation for Client Execution,T1658,Pegasus for iOS can compromise iPhones running iOS 16.6 without any user interaction. [5],Unknown
Exploitation for Client Execution,T1658,Security updates frequently contain patches to vulnerabilities.,Unknown
Exploitation for Client Execution,T1658,"Users should be wary of iMessages from unknown senders. Additionally, users should be instructed not to open unrecognized links or other attachments in text messages.",Unknown
Exploitation for Client Execution,T1658,Network Communication,Unknown
Native API,T1575,Asacub has implemented functions in native code. [3],Unknown
Native API,T1575,Bread has used native code in an attempt to disguise malicious functionality. [4],Unknown
Native API,T1575,CarbonSteal has seen native libraries used in some reported samples [5],Unknown
Native API,T1575,CHEMISTGAMES has utilized native code to decrypt its malicious payload. [6],Unknown
Native API,T1575,HenBox has contained native libraries. [7],Unknown
Native API,T1575,LightSpy 's main executable and modules use native libraries to execute targeted functionality. [8] [9] [10] [11],Unknown
Native API,T1575,"During Operation Triangulation , the threat actors use the Audio Queue API to record audio. [12] [13]",Unknown
Native API,T1575,TERRACOTTA has included native modules. [14],Unknown
Scheduled Task/Job,T1603,"GPlayed has used timers to enable Wi-Fi, ping the C2 server, register the device with the C2, and register wake locks on the system. [3]",Unknown
Scheduled Task/Job,T1603,TERRACOTTA has used timer events in React Native to initiate the foreground service. [4],Unknown
Scheduled Task/Job,T1603,Tiktok Pro has contained an alarm that triggers every three minutes and timers for communicating with the C2. [5],Unknown
Boot or Logon Initialization Scripts,T1398,AhRat can register with the BOOT_COMPLETED broadcast to start when the device turns on. [1],Unknown
Boot or Logon Initialization Scripts,T1398,"BOULDSPY can exfiltrate data when the user boots the app, or on device boot. [2]",Unknown
Boot or Logon Initialization Scripts,T1398,LightSpy has established auto-start execution during the system boot process. [3],Unknown
Boot or Logon Initialization Scripts,T1398,OldBoot uses escalated privileges to modify the init script on the device's boot partition to maintain persistence. [4],Unknown
Boot or Logon Initialization Scripts,T1398,Device attestation could detect devices with unauthorized or unsafe modifications.,Unknown
Boot or Logon Initialization Scripts,T1398,A locked bootloader could prevent unauthorized modifications to protected operating system files.,Unknown
Boot or Logon Initialization Scripts,T1398,Security updates frequently contain fixes for vulnerabilities that could be leveraged to modify protected operating system files.,Unknown
Boot or Logon Initialization Scripts,T1398,Android and iOS include system partition integrity mechanisms that could detect unauthorized modifications.,Unknown
Boot or Logon Initialization Scripts,T1398,Host Status,Unknown
Compromise Application Executable,T1577,Agent Smith can inject fraudulent ad modules into existing applications on a device. [2],Unknown
Compromise Application Executable,T1577,BOULDSPY can inject malicious packages into applications already existing on an infected device. [3],Unknown
Compromise Application Executable,T1577,YiSpecter has replaced device apps with ones it has downloaded. [4],Unknown
Compromise Application Executable,T1577,Security updates frequently contain patches to vulnerabilities.,Unknown
Compromise Application Executable,T1577,Many vulnerabilities related to injecting code into existing applications have been patched in previous Android releases.,Unknown
Compromise Client Software Binary,T1645,BrainTest uses root privileges (if available) to copy an additional Android app package (APK) to /system/priv-app to maintain persistence even after a factory reset. [1],Unknown
Compromise Client Software Binary,T1645,BusyGasper can abuse existing root access to copy components into the system partition. [2],Unknown
Compromise Client Software Binary,T1645,DoubleAgent has used exploits to root devices and install additional malware on the system partition. [3],Unknown
Compromise Client Software Binary,T1645,Monokle can remount the system partition as read/write to install attacker-specified certificates. [4],Unknown
Compromise Client Software Binary,T1645,Pegasus for Android attempts to modify the device's system partition. [5],Unknown
Compromise Client Software Binary,T1645,Pegasus for iOS modifies the system partition to maintain persistence. [6],Unknown
Compromise Client Software Binary,T1645,"ShiftyBug is auto-rooting adware that embeds itself as a system application, making it nearly impossible to remove. [7]",Unknown
Compromise Client Software Binary,T1645,SpyDealer maintains persistence by installing an Android application package (APK) on the system partition. [8],Unknown
Compromise Client Software Binary,T1645,Device attestation could detect devices with unauthorized or unsafe modifications.,Unknown
Compromise Client Software Binary,T1645,A locked bootloader could prevent unauthorized modifications of protected operating system files.,Unknown
Compromise Client Software Binary,T1645,Security updates frequently contain fixes for vulnerabilities that could be leveraged to modify protected operating system files.,Unknown
Compromise Client Software Binary,T1645,Android includes system partition integrity mechanisms that could detect unauthorized modifications.,Unknown
Compromise Client Software Binary,T1645,API Calls,Unknown
Compromise Client Software Binary,T1645,Host Status,Unknown
Event Triggered Execution (1),T1624,BOULDSPY uses a background service that can restart itself when the parent activity is stopped. [1],Unknown
Event Triggered Execution (1),T1624,Android 8 introduced additional limitations on the implicit intents that an application can register for. [2],Unknown
Event Triggered Execution (1),T1624,Permissions Requests,Unknown
Broadcast Receivers,T1624.001,AhRat can register with the CONNECTIVITY_CHANGE and WIFI_STATE_CHANGED broadcast events to trigger further functionality. [2],Unknown
Broadcast Receivers,T1624.001,Android/AdDisplay.Ashas has registered to receive the BOOT_COMPLETED broadcast intent to activate on device startup. [3],Unknown
Broadcast Receivers,T1624.001,AndroidOS/MalLocker.B has registered to receive 14 different broadcast intents for automatically triggering malware payloads. [4],Unknown
Broadcast Receivers,T1624.001,"During C0033 , PROMETHIUM used StrongPity to receive the following broadcast events to establish persistence: BOOT_COMPLETED , BATTERY_LOW , USER_PRESENT , SCREEN_ON , SCREEN_OFF , or CONNECTIVITY_CHANGE . [5]",Unknown
Broadcast Receivers,T1624.001,DEFENSOR ID abuses the accessibility service to auto-start the malware on device boot. This is accomplished by receiving the android.accessibilityservice.AccessibilityService intent. [6],Unknown
Broadcast Receivers,T1624.001,EventBot registers for the BOOT_COMPLETED intent to auto-start after the device boots. [7],Unknown
Broadcast Receivers,T1624.001,Exobot has registered to receive the BOOT_COMPLETED broadcast intent. [8],Unknown
Broadcast Receivers,T1624.001,FakeSpy can register for the BOOT_COMPLETED broadcast Intent. [9],Unknown
Broadcast Receivers,T1624.001,"FlexiSpy uses root access to establish reboot hooks to re-install the application from /data/misc/adn . [10] At boot, FlexiSpy spawns daemons for process monitoring, call monitoring, call managing, and system. [10]",Unknown
Broadcast Receivers,T1624.001,FlixOnline may use the BOOT_COMPLETED action to trigger further scripts on boot. [11],Unknown
Broadcast Receivers,T1624.001,GolfSpy registers for the USER_PRESENT broadcast intent and uses it as a trigger to take photos with the front-facing camera. [12],Unknown
Broadcast Receivers,T1624.001,GPlayed can register for the BOOT_COMPLETED broadcast intent. [13],Unknown
Broadcast Receivers,T1624.001,HenBox has registered several broadcast receivers. [14],Unknown
Broadcast Receivers,T1624.001,Pegasus for Android listens for the BOOT_COMPLETED broadcast intent in order to maintain persistence and activate its functionality at device boot time. [15],Unknown
Broadcast Receivers,T1624.001,"SimBad registers for the BOOT_COMPLETED and USER_PRESENT broadcast intents, which allows the software to perform actions after the device is booted and when the user is using the device, respectively. [16]",Unknown
Broadcast Receivers,T1624.001,SpyC23 listens for the BOOT_COMPLETED broadcast to activate malware. [17],Unknown
Broadcast Receivers,T1624.001,SpyDealer registers the broadcast receiver to listen for events related to device boot-up. [18],Unknown
Broadcast Receivers,T1624.001,SpyNote RAT uses an Android broadcast receiver to automatically start when the device boots. [19],Unknown
Broadcast Receivers,T1624.001,TERRACOTTA has registered several broadcast receivers. [20],Unknown
Broadcast Receivers,T1624.001,"Tiktok Pro has registered for device boot, incoming, and outgoing calls broadcast intents. [21]",Unknown
Broadcast Receivers,T1624.001,TrickMo registers for the SCREEN_ON and SMS_DELIVER intents to perform actions when the device is unlocked and when the device receives an SMS message. [22],Unknown
Broadcast Receivers,T1624.001,Android 8 introduced additional limitations on the implicit intents that an application can register for. [1],Unknown
Broadcast Receivers,T1624.001,Permissions Requests,Unknown
Foreground Persistence,T1541,Drinik has C2 commands that can move the malware in and out of the foreground. [5],Unknown
Foreground Persistence,T1541,Mandrake uses foreground persistence to keep a service running. It shows the user a transparent notification to evade detection. [6],Unknown
Foreground Persistence,T1541,TERRACOTTA has utilized foreground services. [7],Unknown
Foreground Persistence,T1541,Tiktok Pro has shown a persistent notification to maintain access to device sensors. [8],Unknown
Foreground Persistence,T1541,"If a user sees a persistent notification they do not recognize, they should uninstall the source application and look for other unwanted applications or anomalies.",Unknown
Foreground Persistence,T1541,API Calls,Unknown
Foreground Persistence,T1541,System Notifications,Unknown
Hijack Execution Flow (1),T1625,YiSpecter has hijacked normal application’s launch routines to display ads. [1],Unknown
Hijack Execution Flow (1),T1625,Device attestation could detect unauthorized operating system modifications.,Unknown
Hijack Execution Flow (1),T1625,"Android Verified Boot can detect unauthorized modifications made to the system partition, which could lead to execution flow hijacking. [2]",Unknown
Hijack Execution Flow (1),T1625,Host Status,Unknown
System Runtime API Hijacking,T1625.001,"Dvmap replaces /system/bin/ip with a malicious version. Dvmap can inject code by patching libdmv.so or libandroid_runtime.so , depending on the Android OS version. Both libraries are related to the Dalvik and ART runtime environments. The patched functions can only call /system/bin/ip , which was replaced with the malicious version. [1]",Unknown
System Runtime API Hijacking,T1625.001,FlexiSpy installs boot hooks into /system/su.d . [2],Unknown
System Runtime API Hijacking,T1625.001,"Zen can install itself on the system partition to achieve persistence. Zen can also replace framework.jar , which allows it to intercept and modify the behavior of the standard Android API. [3]",Unknown
System Runtime API Hijacking,T1625.001,Device attestation could detect unauthorized operating system modifications.,Unknown
System Runtime API Hijacking,T1625.001,"Android Verified Boot can detect unauthorized modifications made to the system partition, which could lead to execution flow hijacking. [4]",Unknown
System Runtime API Hijacking,T1625.001,Host Status,Unknown
Scheduled Task/Job,T1603,"GPlayed has used timers to enable Wi-Fi, ping the C2 server, register the device with the C2, and register wake locks on the system. [3]",Unknown
Scheduled Task/Job,T1603,TERRACOTTA has used timer events in React Native to initiate the foreground service. [4],Unknown
Scheduled Task/Job,T1603,Tiktok Pro has contained an alarm that triggers every three minutes and timers for communicating with the C2. [5],Unknown
Abuse Elevation Control Mechanism (1),T1626,Applications very rarely require administrator permission. Developers should be cautioned against using this higher degree of access to avoid being flagged as a potentially malicious application.,Unknown
Abuse Elevation Control Mechanism (1),T1626,Permissions Requests,Unknown
Abuse Elevation Control Mechanism (1),T1626,Permissions Request,Unknown
Device Administrator Permissions,T1626.001,AbstractEmu can modify system settings to give itself device administrator privileges. [1],Unknown
Device Administrator Permissions,T1626.001,Asacub can request device administrator permissions. [2],Unknown
Device Administrator Permissions,T1626.001,Exobot can request device administrator permissions. [3],Unknown
Device Administrator Permissions,T1626.001,GPlayed can request device administrator permissions. [4],Unknown
Device Administrator Permissions,T1626.001,Hornbill can request device administrator privileges. [5],Unknown
Device Administrator Permissions,T1626.001,Red Alert 2.0 can request device administrator permissions. [6],Unknown
Device Administrator Permissions,T1626.001,Sunbird can request device administrator privileges. [5],Unknown
Device Administrator Permissions,T1626.001,XLoader for Android requests Android Device Administrator access. [7],Unknown
Device Administrator Permissions,T1626.001,Changes were introduced in Android 7 to make abuse of device administrator permissions more difficult. [8],Unknown
Device Administrator Permissions,T1626.001,"Users should scrutinize every device administration permission request. If the request is not expected or the user does not recognize the application, the application should be uninstalled immediately.",Unknown
Device Administrator Permissions,T1626.001,Permissions Requests,Unknown
Device Administrator Permissions,T1626.001,Permissions Request,Unknown
Device Administrator Permissions,T1626.001,System Settings,Unknown
Exploitation for Privilege Escalation,T1404,AbstractEmu can use rooting exploits to silently give itself permissions or install additional malware. [1],Unknown
Exploitation for Privilege Escalation,T1404,"Agent Smith exploits known OS vulnerabilities, including Janus, to replace legitimate applications with malicious versions. [2]",Unknown
Exploitation for Privilege Escalation,T1404,"Some original variants of BrainTest had the capability to automatically root some devices, but that behavior was not observed in later samples. [3]",Unknown
Exploitation for Privilege Escalation,T1404,"DoubleAgent has used exploit tools to gain root, such as TowelRoot. [4]",Unknown
Exploitation for Privilege Escalation,T1404,Dvmap attempts to gain root access by using local exploits. [5],Unknown
Exploitation for Privilege Escalation,T1404,Exodus Two attempts to elevate privileges by using a modified version of the DirtyCow exploit. [6],Unknown
Exploitation for Privilege Escalation,T1404,"FinFisher comes packaged with ExynosAbuse, an Android exploit that can gain root privileges. [7]",Unknown
Exploitation for Privilege Escalation,T1404,Gooligan executes Android root exploits. [8],Unknown
Exploitation for Privilege Escalation,T1404,HummingBad can exploit unfixed vulnerabilities in older Android versions to root victim phones. [9],Unknown
Exploitation for Privilege Escalation,T1404,INSOMNIA exploits a WebKit vulnerability to achieve root access on the device. [10],Unknown
Exploitation for Privilege Escalation,T1404,"LightSpy uses the embedded time_waste function to bypass standard iOS API restrictions and enable unauthorized audio/video recording. This exploit injects a .dylib into the SpringBoard process, allowing persistent access to audio and video capture. [11] [12]",Unknown
Exploitation for Privilege Escalation,T1404,"During Operation Triangulation , the threat actors exploited a kernel vulnerability to obtain root privileges. [13]",Unknown
Exploitation for Privilege Escalation,T1404,Pegasus for Android attempts to exploit well-known Android OS vulnerabilities to escalate privileges. [14],Unknown
Exploitation for Privilege Escalation,T1404,Pegasus for iOS exploits iOS vulnerabilities to escalate privileges. [15],Unknown
Exploitation for Privilege Escalation,T1404,Phenakite has included exploits for jailbreaking infected devices. [16],Unknown
Exploitation for Privilege Escalation,T1404,ShiftyBug is packed with at least eight publicly available exploits that can perform rooting. [17],Unknown
Exploitation for Privilege Escalation,T1404,Skygofree has the capability to exploit several known vulnerabilities and escalate privileges. [18],Unknown
Exploitation for Privilege Escalation,T1404,SpyDealer uses the commercial rooting app Baidu Easy Root to gain root privilege and maintain persistence on the victim. [19],Unknown
Exploitation for Privilege Escalation,T1404,Zen can obtain root access via a rooting trojan in its infection chain. [20],Unknown
Exploitation for Privilege Escalation,T1404,Device attestation can often detect jailbroken or rooted devices.,Unknown
Exploitation for Privilege Escalation,T1404,Mobile security products can potentially detect jailbroken or rooted devices.,Unknown
Exploitation for Privilege Escalation,T1404,Security updates often contain patches for vulnerabilities.,Unknown
Exploitation for Privilege Escalation,T1404,API Calls,Unknown
Exploitation for Privilege Escalation,T1404,Host Status,Unknown
Process Injection (1),T1631,"FjordPhantom has injected malicious code   and a hooking framework through a virtualization solution, i.e. Virtualization Solution , into the process of the hosted application. [1]",Unknown
Process Injection (1),T1631,LightSpy injects libcynject.dylib into the SpringBoard process to enable audio/video recording. [2],Unknown
Process Injection (1),T1631,API Calls,Unknown
Ptrace System Calls,T1631.001,INSOMNIA grants itself permissions by injecting its hash into the kernel’s trust cache. [4],Unknown
Ptrace System Calls,T1631.001,"Triada injects code into the Zygote process to effectively include itself in all forked processes. Additionally, code is injected into the Android Play Store App, web browser applications, and the system UI application. [5] [6]",Unknown
Ptrace System Calls,T1631.001,Zen can inject code into the Setup Wizard at runtime to extract CAPTCHA images. Zen can inject code into the libc of running processes to infect them with the malware. [7],Unknown
Ptrace System Calls,T1631.001,API Calls,Unknown
Application Versioning,T1661,"SharkBot initially poses as a benign application, then malware is downloaded and executed after an application update. [2]",Unknown
Application Versioning,T1661,"Enterprises can provision policies to mobile devices for application allow-listing, ensuring only approved applications are installed onto mobile devices.",Unknown
Application Versioning,T1661,"Android 11 and above implement application hibernation, which can hibernate an application that has not been used for a few months and can reset the application’s permission requests. [3]",Unknown
Application Versioning,T1661,API Calls,Unknown
Application Versioning,T1661,Network Communication,Unknown
Application Versioning,T1661,Permissions Requests,Unknown
Download New Code at Runtime,T1407,AbstractEmu can download and install additional malware after initial infection. [2],Unknown
Download New Code at Runtime,T1407,Anubis can download attacker-specified APK files. [3],Unknown
Download New Code at Runtime,T1407,BOULDSPY can download and run code obtained from the C2. [4],Unknown
Download New Code at Runtime,T1407,Original samples of BrainTest download their exploit packs for rooting from a remote server after installation. [5],Unknown
Download New Code at Runtime,T1407,"BRATA has used an initial dropper to download an additional malicious application, and downloads its configuration file from the C2 server. [6] [7]",Unknown
Download New Code at Runtime,T1407,Bread has utilized JavaScript within WebViews that loaded a URL hosted on a Bread-controlled server which provided functions to run. Bread downloads billing fraud execution steps at runtime. [8],Unknown
Download New Code at Runtime,T1407,BusyGasper can download a payload or updates from either its C2 server or email attachments in the adversary’s inbox. [9],Unknown
Download New Code at Runtime,T1407,CarbonSteal can dynamically load additional functionality. [10],Unknown
Download New Code at Runtime,T1407,Cerberus can update the malicious payload module on command. [11],Unknown
Download New Code at Runtime,T1407,Chameleon can download new code at runtime. [12],Unknown
Download New Code at Runtime,T1407,CHEMISTGAMES can download new modules while running. [13],Unknown
Download New Code at Runtime,T1407,Desert Scorpion has been distributed in multiple stages. [14],Unknown
Download New Code at Runtime,T1407,"DoubleAgent has downloaded additional code to root devices, such as TowelRoot. [10]",Unknown
Download New Code at Runtime,T1407,Dvmap can download code and binaries from the C2 server to execute on the device as root. [15],Unknown
Download New Code at Runtime,T1407,"eSurv ’s Android version is distributed in three stages: the dropper, the second stage payload, and the third stage payload which is Exodus . [16]",Unknown
Download New Code at Runtime,T1407,EventBot can download new libraries when instructed to. [17],Unknown
Download New Code at Runtime,T1407,"Exodus One, after checking in, sends a POST request and then downloads Exodus Two, the second stage binaries. [18]",Unknown
Download New Code at Runtime,T1407,FrozenCell has downloaded and installed additional applications. [19],Unknown
Download New Code at Runtime,T1407,Golden Cup has been distributed in two stages. [20],Unknown
Download New Code at Runtime,T1407,GoldenEagle can download new code to update itself. [10],Unknown
Download New Code at Runtime,T1407,GPlayed has the capability to remotely load plugins and download and compile new .NET code. [21],Unknown
Download New Code at Runtime,T1407,HenBox can load additional Dalvik code while running. [22],Unknown
Download New Code at Runtime,T1407,Judy bypasses Google Play's protections by downloading a malicious payload at runtime after installation. [23],Unknown
Download New Code at Runtime,T1407,Mandrake can download its second (Loader) and third (Core) stages after the dropper is installed. [24],Unknown
Download New Code at Runtime,T1407,RCSAndroid has the ability to dynamically download and execute new code at runtime. [25],Unknown
Download New Code at Runtime,T1407,Red Alert 2.0 can download additional overlay templates. [26],Unknown
Download New Code at Runtime,T1407,"SharkBot can use the Android ""Direct Reply"" feature to spread the malware to other devices. It can also download the full version of the malware after initial device compromise. [27]",Unknown
Download New Code at Runtime,T1407,SilkBean can install new applications which are obtained from the C2 server. [10],Unknown
Download New Code at Runtime,T1407,Skygofree can download executable code from the C2 server after the implant starts or after a specific command. [28],Unknown
Download New Code at Runtime,T1407,SpyDealer downloads and executes root exploits from a remote server. [29],Unknown
Download New Code at Runtime,T1407,TERRACOTTA can download additional modules at runtime via JavaScript eval statements. [30],Unknown
Download New Code at Runtime,T1407,Triada utilizes a backdoor in a Play Store app to install additional trojanized apps from the Command and Control server. [31],Unknown
